v	layers
3.2	Ect
-8.51	Ect
0.94	Ect
-0.08	Ect
1.39	Ect
1.69	Ect
-2.39	Ect
5.08	Ect
5.44	Ect
3.67	Ect
2.14	Ect
-0.16	Ect
0.5	Ect
-0.93	Ect
-2.35	Ect
3.23	Ect
4.47	Ect
2.74	Ect
8.44	Ect
-7.2	Ect
6.66	Ect
1.52	Ect
2.45	Ect
-7.62	Ect
0.6	Ect
-2.05	Ect
0.31	Ect
-3.77	Ect
2.13	Ect
-1.71	Ect
0.2	Ect
4.25	Ect
6.69	Ect
-8.81	Ect
2.1	Ect
-7.35	Ect
4.18	Ect
1.36	Ect
-0.52	Ect
3.4	Ect
-1.39	Ect
-8.97	Ect
3.38	Ect
2.25	Ect
0.8	Ect
3.08	Ect
2.9	Ect
-1.94	Ect
-8.15	Ect
2.78	Ect
-2.81	Ect
-9.47	Ect
-6.65	Ect
-7.07	Ect
2.92	Ect
6.89	Ect
7.19	Ect
0.73	Ect
4.3	Ect
-0.56	Ect
-6.83	Ect
10.17	Ect
7.5	Ect
5.25	Ect
-1.56	Ect
5.21	Ect
3.76	Ect
1.59	Ect
1.85	Ect
-1.1	Ect
-1.44	Ect
-8.42	Ect
-8.12	Ect
-2.3	Ect
-8.13	Ect
4.61	Ect
-4.21	Ect
0.89	Ect
5.24	Ect
1.25	Ect
-6.82	Ect
-2.28	Ect
3.74	Ect
-0.34	Ect
-0.31	Ect
-6.79	Ect
2.53	Ect
5.57	Ect
2.07	Ect
6.07	Ect
-1.59	Ect
-1.76	Ect
2.12	Ect
3.79	Ect
-2.63	Ect
-8.48	Ect
3.57	Ect
-7.38	Ect
3.66	Ect
4.65	Ect
5.1	Ect
4.15	Ect
-1.44	Ect
3.77	Ect
9.44	Ect
0.58	Ect
2.58	Ect
-6.59	Ect
4.2	Ect
0.77	Ect
-0.41	Ect
3.47	Ect
0.86	Ect
-0.35	Ect
-4.76	Ect
-1.63	Ect
-3.02	Ect
1.37	Ect
4.04	Ect
-7.69	Ect
1.41	Ect
4.14	Ect
-0.89	Ect
2.05	Ect
-0.4	Ect
-1.9	Ect
-2.66	Ect
1.32	Ect
-9.47	Ect
0.88	Ect
-4.07	Ect
-9.1	Ect
-9.57	Ect
-8.9	Ect
-8.86	Ect
-9.1	Ect
1.49	Ect
-7.35	Ect
0.4	Ect
1.09	Ect
-0.84	Ect
4.72	Ect
-8.11	Ect
0.67	Ect
0.5	Ect
-8.86	Ect
-4.72	Ect
-5.52	Ect
0.13	Ect
3.31	Ect
3.64	Ect
0.12	Ect
5.11	Ect
4.29	Ect
2.97	Ect
3.54	Ect
2.4	Ect
6.07	Ect
-2.53	Ect
-0.48	Ect
3.51	Ect
3.28	Ect
2.49	Ect
-3.53	Ect
0.11	Ect
3.91	Ect
4.07	Ect
3.55	Ect
7.53	Ect
4.24	Ect
1.29	Ect
-2.76	Ect
-9.29	Ect
-6.18	Ect
3.59	Ect
-6.56	Ect
-1.95	Ect
3.79	Ect
2.76	Ect
-0.17	Ect
-7.25	Ect
5.19	Ect
-3.63	Ect
1.73	Ect
4.92	Ect
0.41	Ect
1.84	Ect
5.59	Ect
3.33	Ect
-0.62	Ect
2.71	Ect
3.85	Ect
1.32	Ect
3.97	Ect
5.93	Ect
4.75	Ect
-2.02	Ect
4.51	Ect
2.38	Ect
0.96	Ect
2.94	Ect
-0.71	Ect
6.82	Ect
7.4	Ect
5.72	Ect
-3.39	Ect
1.34	Ect
7.14	Ect
7.89	Ect
-2.7	Ect
-1.45	Ect
-1.36	Ect
2.73	Ect
2.42	Ect
0.28	Ect
-6.12	Ect
5.44	Ect
3.64	Ect
-7.59	Ect
-8.69	Ect
0.71	Ect
1.83	Ect
6.8	Ect
-0.26	Ect
-4.88	Ect
2.33	Ect
1.83	Ect
5.73	Ect
5.7	Ect
-4.4	Ect
1.61	Ect
8.65	Ect
5.8	Ect
5.36	Ect
1.38	Ect
5.98	Ect
2.91	Ect
6.26	Ect
-4.07	Ect
-2.14	Ect
-8.54	Ect
-8.99	Ect
-8.96	Ect
-8.89	Ect
-8.36	Ect
-8.87	Ect
-8.29	Ect
-8.68	Ect
-8.57	Ect
-8.92	Ect
-8.67	Ect
-8.95	Ect
-8.85	Ect
-8.55	Ect
-9.46	Ect
-8.62	Ect
-9.4	Ect
-9.9	Ect
-8.83	Ect
-9.29	Ect
-8.68	Ect
-7.49	Ect
5.56	Ect
-0.36	Ect
3.21	Ect
5.16	Ect
-1.21	Ect
-1.89	Ect
-0.72	Ect
1.52	Ect
-9.55	Ect
3.75	Ect
4.83	Ect
5.88	Ect
0.95	Ect
-2.78	Ect
-3.92	Ect
-2.36	Ect
-8.28	Ect
4.62	Ect
-7.5	Ect
5.47	Ect
-7.23	Ect
-9.47	Ect
-6.67	Ect
5.33	Ect
4.51	Ect
-8.3	Ect
6.15	Ect
-7.77	Ect
-3.21	Ect
-0.33	Ect
0.03	Ect
2.65	Ect
2.58	Ect
0.09	Ect
-6.81	Ect
-9.17	Ect
-6.25	Ect
-6.3	Ect
-7.08	Ect
-6.31	Ect
-6.64	Ect
-8.43	Ect
-8.21	Ect
2.97	Ect
1.73	Ect
0.49	Ect
-0.17	Ect
0.58	Ect
3.87	Ect
1.2	Ect
3.34	Ect
1.16	Ect
2.56	Ect
6.36	Ect
-0.12	Ect
4.35	Ect
4.14	Ect
-8.75	Ect
-8.18	Ect
4.28	Ect
3.81	Ect
2.02	Ect
2.92	Ect
-0.13	Ect
1.74	Ect
3.26	Ect
-7.49	Ect
-7.13	Ect
-2.74	Ect
-7.6	Ect
4.24	Ect
-9.33	Ect
-8.01	Ect
-8.06	Ect
-1.28	Ect
4.92	Ect
2.23	Ect
4.23	Ect
-3.92	Ect
2.39	Ect
2.17	Ect
1.97	Ect
1.29	Ect
4.04	Ect
5.72	Ect
-6.94	Ect
6.24	Ect
-9.65	Ect
-5.34	Ect
1.69	Ect
-2.26	Ect
1.47	Ect
-3.16	Ect
-0.96	Ect
3.48	Ect
-1.32	Ect
-3.07	Ect
-8.71	Ect
1.76	Ect
4.2	Ect
3.19	Ect
-6.86	Ect
-3.98	Ect
-0.66	Ect
10.02	Ect
-3.71	Ect
4.98	Ect
-3.68	Ect
-0.85	Ect
-2.9	Ect
2.7	Ect
-3.78	Ect
0.16	Ect
2.28	Ect
1.11	Ect
-4.5	Ect
-1.76	Ect
-8.76	Ect
5.26	Ect
-4.8	Ect
2.99	Ect
2.61	Ect
-1.9	Ect
-4.01	Ect
-1.63	Ect
-3.15	Ect
-9.13	Ect
3.66	Ect
-3.76	Ect
-5.11	Ect
-6.73	Ect
-1.59	Ect
1.79	Ect
-0.92	Ect
6.2	Ect
1.33	Ect
1.98	Ect
-2.08	Ect
3.09	Ect
7.02	Ect
-6.43	Ect
-3.16	Ect
-9.97	Ect
0.07	Ect
1.44	Ect
-8.91	Ect
1.87	Ect
1.09	Ect
0.06	Ect
-7.87	Ect
4.04	Ect
-10.16	Ect
5.25	Ect
-8.53	Ect
-1.05	Ect
-0.16	Ect
4.2	Ect
-2.18	Ect
5.69	Ect
3.53	Ect
3.83	Ect
1.51	Ect
2.13	Ect
7.37	Ect
5.13	Ect
6.46	Ect
1.94	Ect
-8.38	Ect
2.07	Ect
4.29	Ect
-2.54	Ect
-7.71	Ect
2.85	Ect
-4.11	Ect
-6.33	Ect
-7.36	Ect
-1.91	Ect
0.45	Ect
-1.74	Ect
-9.93	Ect
1.85	Ect
3.77	Ect
-0.41	Ect
5.91	Ect
-9.21	Ect
1.55	Ect
3.57	Ect
3.83	Ect
2.09	Ect
-2.02	Ect
-6.2	Ect
3.35	Ect
-4.59	Ect
7.49	Ect
3.84	Ect
-2.36	Ect
-2.53	Ect
-3.57	Ect
3.11	Ect
-8.72	Ect
6.03	Ect
3.82	Ect
0.55	Ect
2.68	Ect
-8.13	Ect
-10.1	Ect
-1.84	Ect
6.86	Ect
7.85	Ect
-1.97	Ect
-1.12	Ect
-7.27	Ect
-9.06	Ect
-8.74	Ect
-0.43	Ect
2.71	Ect
1.88	Ect
4.09	Ect
7.18	Ect
-1.71	Ect
-0.7	Ect
-3.05	Ect
3.33	Ect
-2.71	Ect
1.9	Ect
3.44	Ect
-8.59	Ect
-0.26	Ect
0.04	Ect
-2.79	Ect
-3.95	Ect
-0.86	Ect
-0.91	Ect
-6.58	Ect
4.7	Ect
-2.2	Ect
6.18	Ect
-0.06	Ect
5.46	Ect
-8.89	Ect
-1.85	Ect
2.16	Ect
-0.3	Ect
-4.69	Ect
-4.19	Ect
3.77	Ect
1.71	Ect
5.71	Ect
-6.02	Ect
-2.28	Ect
2.83	Ect
4.58	Ect
1.49	Ect
1.01	Ect
2.6	Ect
1.45	Ect
7.13	Ect
-7.97	Ect
-1.64	Ect
-8.06	Ect
-8.16	Ect
1.64	Ect
-7.89	Ect
1.6	Ect
-1.05	Ect
6.04	Ect
6.5	Ect
-0.61	Ect
-4.05	Ect
-7.5	Ect
5.09	Ect
-0.34	Ect
4.07	Ect
-7.58	Ect
-9.04	Ect
5.35	Ect
-2.16	Ect
2.15	Ect
-2.38	Ect
0.27	Ect
8.73	Ect
5.58	Ect
-1.55	Ect
-0.15	Ect
0.89	Ect
-0.24	Ect
1.71	Ect
1.56	Ect
2.72	Ect
-2.33	Ect
1.79	Ect
0.87	Ect
5.44	Ect
-1.37	Ect
3.48	Ect
3.36	Ect
5.3	Ect
5.01	Ect
-2.93	Ect
2.46	Ect
-0.28	Ect
0.31	Ect
-1.6	Ect
6.21	Ect
-1.47	Ect
5.39	Ect
-5.17	Ect
3.03	Ect
3.26	Ect
5.26	Ect
-0.54	Ect
-2.06	Ect
-3.97	Ect
4.83	Ect
3.01	Ect
6.05	Ect
0.5	Ect
1.47	Ect
6.22	Ect
-0.92	Ect
-4.79	Ect
-9.05	Ect
9.12	Ect
5.56	Ect
2.64	Ect
-1.07	Ect
2.48	Ect
-7.68	Ect
4.18	Ect
4.4	Ect
-7.37	Ect
2.62	Ect
1.86	Ect
9.68	Ect
-0.27	Ect
-2.28	Ect
-3.5	Ect
5.1	Ect
4	Ect
2.93	Ect
0.09	Ect
1.26	Ect
2.87	Ect
-4.62	Ect
0.34	Ect
4.55	Ect
6.19	Ect
-0.88	Ect
3.94	Ect
3.02	Ect
-4.51	Ect
-0.58	Ect
3.64	Ect
-0.18	Ect
5.1	Ect
-5.25	Ect
-2.03	Ect
2.91	Ect
5.7	Ect
9.58	Ect
4.42	Ect
1.01	Ect
2.71	Ect
4.43	Ect
-0.79	Ect
5.46	Ect
-1.4	Ect
5.65	Ect
2.19	Ect
4.11	Ect
-0.82	Ect
-2.77	Ect
0.32	Ect
1.69	Ect
0.97	Ect
3.39	Ect
-2.19	Ect
4.13	Ect
-0.78	Ect
5.09	Ect
-1.86	Ect
2.09	Ect
-2.01	Ect
-8.23	Ect
1.84	Ect
-6.64	Ect
4.22	Ect
6.59	Ect
0.76	Ect
0.43	Ect
-5.11	Ect
0.01	Ect
2.01	Ect
2.34	Ect
3.82	Ect
6.17	Ect
3.47	Ect
1.53	Ect
2.89	Ect
0.65	Ect
-1.03	Ect
7.82	Ect
-1.53	Ect
-1.68	Ect
5.65	Ect
9.22	Ect
3.8	Ect
1.38	Ect
1.04	Ect
5.93	Ect
0.72	Ect
1.69	Ect
-4.06	Ect
-7.56	Ect
-9.51	Ect
-8.63	Ect
-8.17	Ect
-8.07	Ect
-8.25	Ect
-8.82	Ect
-8.86	Ect
-9.07	Ect
-9.76	Ect
5.05	Ect
6.63	Ect
2.74	Ect
5.95	Ect
2.41	Ect
7.06	Ect
1.46	Ect
4.34	Ect
2.52	Ect
5.79	Ect
2.55	Ect
-8.43	Ect
5.47	Ect
6.22	Ect
-4.01	Ect
3.75	Ect
5.33	Ect
2.5	Ect
1.41	Ect
3.71	Ect
4.77	Ect
3.46	Ect
8.98	Ect
-4.54	Ect
-5.99	Ect
2.88	Ect
-5.28	Ect
5.46	Ect
9.57	Ect
-4.02	Ect
-0.64	Ect
-3.13	Ect
4.4	Ect
3.37	Ect
5.95	Ect
6.86	Ect
0.29	Ect
-2.62	Ect
-2.33	Ect
-8.12	Ect
-7.61	Ect
4.71	Ect
3.9	Ect
4.37	Ect
4.97	Ect
0.42	Ect
0.73	Ect
6.7	Ect
-7.74	Ect
-7.57	Ect
2.72	Ect
-3.38	Ect
-0.23	Ect
1.41	Ect
4.52	Ect
3.32	Ect
4.7	Ect
-4.09	Ect
-1.23	Ect
5.36	Ect
-7.08	Ect
-4.04	Ect
-7.53	Ect
-4.22	Ect
-7.52	Ect
-3.78	Ect
-6.98	Ect
-2.45	Ect
-7.87	Ect
-9.46	Ect
-7.8	Ect
-9.23	Ect
2.95	Ect
-7.86	Ect
-7.32	Ect
-7.08	Ect
-6.5	Ect
-7.02	Ect
-6.78	Ect
-5.53	Ect
5.16	Ect
3.98	Ect
1.63	Ect
-0.83	Ect
-9.04	Ect
-9.18	Ect
0.11	Ect
2.79	Ect
-9.32	Ect
-9.57	Ect
-0.69	Ect
2.32	Ect
-3.75	Ect
1.91	Ect
5.14	Ect
4.63	Ect
3.23	Ect
1.72	Ect
0.38	Ect
-7.66	Ect
1.93	Ect
0.45	Ect
4.67	Ect
-3.07	Ect
0.98	Ect
-0.63	Ect
5.26	Ect
-3.89	Ect
-4.71	Ect
-8.45	Ect
-8.1	Ect
-6.96	Ect
-9.09	Ect
3.95	Ect
-9.68	Ect
3.44	Ect
2.05	Ect
-3.29	Ect
3.12	Ect
3.98	Ect
-8.8	Ect
3.15	Ect
-6.84	Ect
-8.41	Ect
4	Ect
4.17	Ect
-4.34	Ect
2.62	Ect
-8.36	Ect
-2.77	Ect
-2.56	Ect
3.34	Ect
-6.29	Ect
1.67	Ect
-1.1	Ect
-1.78	Ect
-8.3	Ect
0.93	Ect
-1.12	Ect
-8.27	Ect
6.04	Ect
1.53	Ect
-4.36	Ect
-6.54	Ect
-3.05	Ect
3.36	Ect
3.22	Ect
5.96	Ect
-6.07	Ect
1.24	Ect
0.25	Ect
1.26	Ect
-5.45	Ect
-7.78	Ect
0.46	Ect
1.79	Ect
-5.23	Ect
2.06	Ect
-2.16	Ect
-8.22	Ect
2.88	Ect
3.18	Ect
-3.88	Ect
0.93	Ect
-6.13	Ect
4.25	Ect
-7.85	Ect
-3.19	Ect
-0.02	Ect
3.91	Ect
-5.61	Ect
5.18	Ect
4.27	Ect
-0.64	Ect
-6.92	Ect
-8.22	Ect
0.59	Ect
-2.99	Ect
-7.21	Ect
-2.65	Ect
-8.23	Ect
-7.98	Ect
-8.5	Ect
-8.04	Ect
-9.54	Ect
-3.42	Ect
-5.44	Ect
-7.5	Ect
2.61	Ect
1.94	Ect
-4.91	Ect
-8.25	Ect
-8.06	Ect
-8.82	Ect
-8.47	Ect
-9.08	Ect
-0.04	Ect
5.44	Ect
-3.51	Ect
6.52	Ect
-5.41	Ect
0.62	Ect
-1.41	Ect
-1.51	Ect
3.42	Ect
0.48	Ect
3.9	Ect
-5	Ect
5.21	Ect
5.27	Ect
5.53	Ect
-0.52	Ect
1.57	Ect
-2.86	Ect
1.32	Ect
-8.16	Ect
1.69	Ect
-7.54	Ect
-0.67	Ect
-8.48	Ect
4.06	Ect
-7.56	Ect
1.35	Ect
-0.24	Ect
2.93	Ect
0.88	Ect
5.88	Ect
-0.94	Ect
-4.69	Ect
-4.17	Ect
-8.68	Ect
-8.59	Ect
-7.93	Ect
-7.86	Ect
-7.85	Ect
-7.94	Ect
-7.89	Ect
-7.93	Ect
-7.89	Ect
-8.61	Ect
-4.9	Ect
4.03	Ect
1.57	Ect
3.63	Ect
0.67	Ect
-5.59	Ect
3.02	Ect
3.46	Ect
1.5	Ect
-4.3	Ect
-7.94	Ect
-6.37	Ect
3.36	Ect
-8.45	Ect
-0.19	Ect
-4.39	Ect
3.06	Ect
-1.09	Ect
3.78	Ect
8.15	Ect
5.48	Ect
5	Ect
2.64	Ect
0.28	Ect
-7.2	Ect
-6.5	Ect
2.96	Ect
1.39	Ect
3.67	Ect
-1.34	Ect
1.25	Ect
-2.2	Ect
-8.64	Ect
-3.72	Ect
2.55	Ect
-4.53	Ect
-8.71	Ect
2.07	Ect
-7.74	Ect
-2.89	Ect
5.2	Ect
-3.67	Ect
0.24	Ect
-1.04	Ect
2.18	Ect
1.73	Ect
-6.63	Ect
1.53	Ect
-1.06	Ect
-8.04	Ect
1.61	Ect
3.34	Ect
2.59	Ect
5.99	Ect
-6.15	Ect
-0.83	Ect
5.16	Ect
-5.13	Ect
2.35	Ect
-7.67	Ect
-1.25	Ect
6.85	Ect
2.38	Ect
-7.86	Ect
3.86	Ect
-1.32	Ect
6.61	Ect
3.54	Ect
3.23	Ect
-2.09	Ect
-1.15	Ect
-2.05	Ect
-5.05	Ect
-8.37	Ect
2.93	Ect
3.39	Ect
-0.77	Ect
2.68	Ect
7.32	Ect
3.25	Ect
-1.04	Ect
1.47	Ect
2	Ect
3.59	Ect
6.31	Ect
-3.92	Ect
-4.4	Ect
1.76	Ect
0.42	Ect
-2.75	Ect
3.37	Ect
4.91	Ect
3.02	Ect
5.2	Ect
2.47	Ect
1.54	Ect
6.05	Ect
3.18	Ect
2.77	Ect
-8.18	Ect
3.17	Ect
1.98	Ect
0.74	Ect
3.55	Ect
5.28	Ect
5.6	Ect
2.9	Ect
10.58	Ect
3.26	Ect
0.13	Ect
-7.13	Ect
-7.13	Ect
-0.71	Ect
-2.33	Ect
4.54	Ect
1.07	Ect
-9.59	Ect
7.45	Ect
-4.33	Ect
4.96	Ect
-7.7	Ect
-8.81	Ect
-7.41	Ect
-6.51	Ect
-7.09	Ect
4.98	Ect
3.17	Ect
0.33	Ect
4.7	Ect
1.62	Ect
5.9	Ect
-5.09	Ect
3.5	Ect
3.92	Ect
4.3	Ect
-8.99	Ect
0.74	Ect
-9	Ect
-8.95	Ect
2.45	Ect
5.16	Ect
1.15	Ect
2.54	Ect
-8.74	Ect
-7.05	Ect
1.28	Ect
-3.65	Ect
2.54	Ect
3.06	Ect
-1.82	Ect
2.23	Ect
-1.8	Ect
0.73	Ect
-3.44	Ect
0.93	Ect
1.9	Ect
2.73	Ect
-0.44	Ect
-0.15	Ect
-4.71	Ect
-7.64	Ect
-7.76	Ect
0.25	Ect
-1.58	Ect
-0.37	Ect
-2.68	Ect
-8.2	Ect
-8.67	Ect
1.74	Ect
2.97	Ect
-8.34	Ect
-1.57	Ect
3.15	Ect
-7.72	Ect
2.83	Ect
0.51	Ect
7.51	Ect
2.72	Ect
0.06	Ect
5.64	Ect
-2.64	Ect
0.69	Ect
-1.63	Ect
-8.3	Ect
1.56	Ect
1.3	Ect
-8.68	Ect
0.45	Ect
-0.19	Ect
-9.1	Ect
-8.66	Ect
1.87	Ect
-1.59	Ect
1.57	Ect
1.07	Ect
2.99	Ect
-10.25	Ect
-2.89	Ect
2.11	Ect
6.08	Ect
-5.65	Ect
2.37	Ect
1.62	Ect
4.25	Ect
0.61	Ect
3.02	Ect
1.19	Ect
-0.34	Ect
3.16	Ect
8.63	Ect
1.86	Ect
5.24	Ect
5	Ect
3.85	Ect
5.86	Ect
3.84	Ect
-1.5	Ect
2.62	Ect
3.95	Ect
-8.32	Ect
0.26	Ect
5.38	Ect
1.95	Ect
3.67	Ect
1.14	Ect
3.19	Ect
-0.34	Ect
-6.88	Ect
-6.88	Ect
-6.87	Ect
-6.96	Ect
-5.82	Ect
-6.63	Ect
-4.95	Ect
-6.33	Ect
-6.33	Ect
-6.82	Ect
-6.83	Ect
-6.84	Ect
-6.83	Ect
-6.62	Ect
0.89	Ect
0.31	Ect
-7.87	Ect
-5.85	Ect
2.5	Ect
-6.21	Ect
-6.21	Ect
-6.53	Ect
-8.32	Ect
2.15	Ect
-9.15	Ect
3.6	Ect
4.58	Ect
-5.41	Ect
-5.41	Ect
-6.05	Ect
-5.41	Ect
-6.09	Ect
-5.41	Ect
-5.47	Ect
1.52	Ect
5.19	Ect
2.23	Ect
2.8	Ect
6.64	Ect
-9.44	Ect
1.3	Ect
-8.13	Ect
-1.68	Ect
-6.09	Ect
-6.5	Ect
4	Ect
1.68	Ect
-0.41	Ect
-0.29	Ect
3.57	Ect
-6.78	Ect
3.14	Ect
1.43	Ect
-0.95	Ect
1.4	Ect
1.75	Ect
-5.01	Ect
6.35	Ect
4.92	Ect
5.16	Ect
4.53	Ect
0.32	Ect
2.72	Ect
-2.7	Ect
3.69	Ect
-0.53	Ect
1.26	Ect
4.74	Ect
1.05	Ect
-6.42	Ect
-0.46	Ect
-5.87	Ect
-8.8	Ect
-8.84	Ect
2.27	Ect
-0.9	Ect
-6.95	Ect
-6.68	Ect
-6.56	Ect
-8.03	Ect
-6.52	Ect
3.36	Ect
-0.21	Ect
-0.08	Ect
-2.43	Ect
6.81	Ect
0.6	Ect
-2.19	Ect
10.07	Ect
6.22	Ect
1.26	Ect
1.8	Ect
-6.57	Ect
9.55	Ect
4.94	Ect
2.87	Ect
-3.85	Ect
9	Ect
2.63	Ect
-6.89	Ect
-6.82	Ect
-7.14	Ect
-6.53	Ect
-6.79	Ect
-6.66	Ect
-7.25	Ect
-8.21	Ect
-6.66	Ect
-7.14	Ect
-8.23	Ect
-6.7	Ect
-6.08	Ect
-6.73	Ect
-7.13	Ect
-7.03	Ect
-6.7	Ect
-6.79	Ect
-6.96	Ect
-6.73	Ect
-7.03	Ect
-7.13	Ect
-4.97	Ect
-0.67	Ect
-7.08	Ect
-7.04	Ect
-7.33	Ect
-7.19	Ect
-8.44	Ect
-6.67	Ect
-6.76	Ect
-6.94	Ect
-6.87	Ect
2.04	Ect
0.25	Ect
-9.14	Ect
1.86	Ect
4.96	Ect
5.67	Ect
2.75	Ect
-6.12	Ect
-6.09	Ect
-0.33	Ect
3.8	Ect
2.64	Ect
4.63	Ect
-8.51	Ect
-4.45	Ect
-2.53	Ect
1.79	Ect
-7.22	Ect
-7.49	Ect
3.39	Ect
1.24	Ect
4.87	Ect
-9.35	Ect
-8.49	Ect
-0.34	Ect
4.41	Ect
0.07	Ect
-3.75	Ect
3.49	Ect
0.45	Ect
3.8	Ect
0.76	Ect
-8.25	Ect
4.51	Ect
0.25	Ect
-3.3	Ect
0.55	Ect
2.63	Ect
-8.16	Ect
2	Ect
0.29	Ect
2.32	Ect
-3.15	Ect
3.27	Ect
6.17	Ect
2.47	Ect
4.43	Ect
7.65	Ect
-1.97	Ect
1.2	Ect
-7.06	Ect
3.54	Ect
-6	Ect
5.77	Ect
1.49	Ect
3.68	Ect
3.46	Ect
2.53	Ect
-6.61	Ect
1.79	Ect
3.01	Ect
-0.07	Ect
3.75	Ect
0.57	Ect
4.18	Ect
4.72	Ect
-10.21	Ect
-8.54	Ect
4.87	Ect
-8.21	Ect
-7.39	Ect
-4.88	Ect
4.63	Ect
-3.65	Ect
4.93	Ect
1.91	Ect
-8.52	Ect
2.68	Ect
1.89	Ect
0.81	Ect
-8.27	Ect
2.45	Ect
-1.27	Ect
-6.84	Ect
-2	Ect
2.53	Ect
2.75	Ect
-4.82	Ect
-0.5	Ect
3.8	Ect
-9.33	Ect
-3.01	Ect
-2.11	Ect
1.04	Ect
5.49	Ect
0.09	Ect
2.23	Ect
0.71	Ect
-7.65	Ect
-8.69	Ect
-6.99	Ect
-0.53	Ect
-7.93	Ect
2.43	Ect
-9.49	Ect
5.42	Ect
2.44	Ect
1.23	Ect
-8.71	Ect
-8.68	Ect
-0.69	Ect
-0.51	Ect
-7.95	Ect
-7.87	Ect
-7.09	Ect
0.17	Ect
-3.1	Ect
0.98	Ect
-5.75	Ect
-3.58	Ect
-6.65	Ect
2.73	Ect
-4.62	Ect
-7.09	Ect
4.83	Ect
-6.16	Ect
-9.33	Ect
1.7	Ect
-2.4	Ect
-0.49	Ect
6.99	Ect
-1.53	Ect
-4.97	Ect
-2.37	Ect
6.17	Ect
4.82	Ect
4.63	Ect
-1.15	Ect
3.13	Ect
-3.98	Ect
5.03	Ect
2.79	Ect
4.48	Ect
3.31	Ect
-0.54	Ect
-7.71	Ect
-7.58	Ect
-3.97	Ect
3.85	Ect
5.48	Ect
8.28	Ect
0.02	Ect
1.97	Ect
4.43	Ect
3.73	Ect
4.27	Ect
0.14	Ect
4.92	Ect
4.27	Ect
1.77	Ect
1.25	Ect
1.91	Ect
3.91	Ect
-2.31	Ect
7.95	Ect
0.45	Ect
-6.75	Ect
-2.34	Ect
4.86	Ect
1.2	Ect
4.95	Ect
7.86	Ect
2.76	Ect
5.01	Ect
-7.17	Ect
-7.26	Ect
-7.07	Ect
4.68	Ect
1.67	Ect
-6.92	Ect
-6.66	Ect
-6.74	Ect
-2.3	Ect
-7.87	Ect
4.85	Ect
-0.35	Ect
-7.16	Ect
-6.8	Ect
2	Ect
0.55	Ect
-7.13	Ect
1.35	Ect
-8.38	Ect
-8.55	Ect
-9.13	Ect
-7.26	Ect
-7.51	Ect
-7.26	Ect
-8.23	Ect
-8.59	Ect
3.33	Ect
2.2	Ect
5.08	Ect
3.3	Ect
6.08	Ect
-0.86	Ect
-2.78	Ect
6.63	Ect
4.21	Ect
1.51	Ect
-1.68	Ect
-0.78	Ect
0.61	Ect
2.52	Ect
-7.4	Ect
3.23	Ect
-2.23	Ect
4.72	Ect
4.24	Ect
-7.63	Ect
-7.78	Ect
0.43	Ect
-4.14	Ect
-5.53	Ect
-1.53	Ect
-0.57	Ect
-0.54	Ect
1.18	Ect
-3.05	Ect
-0.99	Ect
4.53	Ect
-2.02	Ect
-4.36	Ect
0.19	Ect
-2.02	Ect
3.54	Ect
-9.31	Ect
-7.54	Ect
-9.21	Ect
-8.15	Ect
5.32	Ect
3.05	Ect
-0.87	Ect
0.29	Ect
-8.92	Ect
6.28	Ect
3.52	Ect
2.72	Ect
-3.12	Ect
1.51	Ect
0.78	Ect
-7.84	Ect
-1.05	Ect
6.79	Ect
-2.81	Ect
2.28	Ect
4.32	Ect
-7.86	Ect
-1.52	Ect
-6.58	Ect
6.2	Ect
3.74	Ect
10.05	Ect
-0.47	Ect
1.02	Ect
-2.06	Ect
-7.53	Ect
-7.78	Ect
-7.78	Ect
-7.54	Ect
1.76	Ect
-0.8	Ect
0.89	Ect
-2.61	Ect
-7.17	Ect
1.83	Ect
4.41	Ect
3.23	Ect
1.45	Ect
2.47	Ect
-2.22	Ect
5.72	Ect
-1.1	Ect
-6.54	Ect
-7.78	Ect
4.72	Ect
4.07	Ect
8.38	Ect
0.85	Ect
-4.77	Ect
7.96	Ect
1.04	Ect
-8.94	Ect
3.64	Ect
0.15	Ect
-8.62	Ect
5.13	Ect
-8.64	Ect
-9.5	Ect
4.93	Ect
-7.06	Ect
-8.72	Ect
1.34	Ect
4.05	Ect
5.18	Ect
-0.87	Ect
-8.01	Ect
5.15	Ect
1.24	Ect
-5.9	Ect
-4	Ect
3.69	Ect
-8.34	Ect
-1.43	Ect
-3.09	Ect
1.62	Ect
-5.89	Ect
-1.58	Ect
-6.64	Ect
-6.64	Ect
-7.74	Ect
-8.35	Ect
-3.59	Ect
0.07	Ect
-0.54	Ect
-7.18	Ect
-6.55	Ect
-6.55	Ect
-8.68	Ect
-6.77	Ect
-0.57	Ect
-2.72	Ect
-5.76	Ect
7.31	Ect
-8.61	Ect
-3.23	Ect
3.42	Ect
0.89	Ect
-1.97	Ect
-7.86	Ect
0.53	Ect
1.44	Ect
1.42	Ect
-7.2	Ect
-8.23	Ect
6.54	Ect
-7.57	Ect
8.29	Ect
3.01	Ect
5.33	Ect
1.46	Ect
3.99	Ect
2.1	Ect
2.1	Ect
4.46	Ect
-2.01	Ect
-4.17	Ect
1.35	Ect
-8.95	Ect
-3.54	Ect
-8.25	Ect
-1.06	Ect
-0.18	Ect
1.27	Ect
2.53	Ect
1.32	Ect
4.2	Ect
7.15	Ect
